"","num_playersRushing","num_playersBlocking","man_coverage","fly","glide_in","glide_out","jet","other_motion","down_two","down_three","down_four","yards_to_go","yard_line","posteam_win_probability","gameId","playId","pff_passCoverage_Bracket","pff_passCoverage_Cover-0","pff_passCoverage_Cover-1","pff_passCoverage_Cover-1 Double","pff_passCoverage_Cover-2","pff_passCoverage_Cover-3","pff_passCoverage_Cover-3 Cloud Left","pff_passCoverage_Cover-3 Cloud Right","pff_passCoverage_Cover-3 Double Cloud","pff_passCoverage_Cover-3 Seam","pff_passCoverage_Cover-6 Right","pff_passCoverage_Cover 6-Left","pff_passCoverage_Goal Line","pff_passCoverage_Miscellaneous","pff_passCoverage_Prevent","pff_passCoverage_Quarters","pff_passCoverage_Red Zone","play_clock_remaining"
"1",4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,31,0.982017487753183,2022102302,2655,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
"2",4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,18,0.575643762946129,2022091809,3698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
"3",4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12,30,0.00629123742692173,2022103004,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
"4",4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,33,0.884223157539964,2022110610,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
"5",7,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12,45,0.921389074996114,2022091104,3662,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"6",5,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,8,45,0.539959710091352,2022100204,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
"7",4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,95,0.588799480348825,2022100912,445,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16
"8",4,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10,35,0.0858570151031017,2022091112,1674,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"9",4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,63,0.342288788408041,2022110603,2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
"10",4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,72,0.52072673663497,2022092511,1310,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
